algo_i,algo_j,overlap_ab_t0,overlap_ba_t0,overlap_sym_t0,fragmentation_ab_t0,fragmentation_ba_t0,fragmentation_sym_t0,composite_ab_t0,composite_ba_t0,composite_sym_t0,overlap_ab_t1,overlap_ba_t1,overlap_sym_t1,fragmentation_ab_t1,fragmentation_ba_t1,fragmentation_sym_t1,composite_ab_t1,composite_ba_t1,composite_sym_t1
felzenszwalb,meanshift,0.24760736992344623,0.2912792266770468,0.2694432983002465,0.7716255796478678,0.7329766396737708,0.7523011096608193,0.7620091048622109,0.720848706498362,0.7414289056802864,0.401602828597379,0.3765517062410795,0.3890772674192292,0.6206373122170009,0.6752465248289162,0.6479419185229586,0.6095172418098109,0.6493474092939184,0.6294323255518647
felzenszwalb,quickshift,0.19179745685740235,0.8214381730893993,0.5066178149734009,0.9886626907335734,0.294579393172174,0.6416210419528737,0.8984326169380855,0.23657061004138738,0.5675016134897365,0.15732334241598547,0.8325454781367588,0.49493441027637214,0.9937192316542874,0.30477549067861154,0.6492473611664495,0.918197944619151,0.23611500627092635,0.5771564754450387
felzenszwalb,rezsd,0.9469905280913455,0.2277267419229272,0.5873586350071364,0.13479821057775784,0.8626365572561168,0.4987173839169373,0.09390384124320615,0.8174549076665948,0.4556793744549005,0.8715910211496043,0.3175711690670818,0.594581095108343,0.18914844833919017,0.7857473468216589,0.48744789758042456,0.15877871359479295,0.7340880888772885,0.4464334012360407
felzenszwalb,samgeo,0.8936356558972363,0.377874659400545,0.6357551576488907,0.13189879561235304,0.8733462703915328,0.5026225330019429,0.11913156985755839,0.7477358054954939,0.4334336876765261,0.8721503827689114,0.44888439081354614,0.6605173867912288,0.15231165007375727,0.820659827429812,0.48648573875178464,0.1400806336524229,0.6858877183081329,0.4129841759802779
meanshift,felzenszwalb,0.2912792266770468,0.24760736992344623,0.2694432983002465,0.7329766396737708,0.7716255796478677,0.7523011096608192,0.720848706498362,0.7620091048622107,0.7414289056802863,0.3765517062410795,0.401602828597379,0.3890772674192292,0.675246524828916,0.6206373122170011,0.6479419185229586,0.6493474092939182,0.6095172418098111,0.6294323255518647
meanshift,quickshift,0.0223963928895809,0.4483780978331387,0.2353872453613598,0.9844184005995801,0.697157339558608,0.8407878700790941,0.9810110038549995,0.6243896208627346,0.8027003123588671,0.018689243544829377,0.5302091605034385,0.2744492020241339,0.9903561738163312,0.703312565072231,0.8468343694442811,0.985833465135751,0.5865517022843962,0.7861925837100736
meanshift,rezsd,0.7358260023355392,0.10487284287011807,0.42034942260282865,0.2589976313921568,0.9041858425639269,0.5815917369780419,0.2615858145283088,0.8996564998469043,0.5806211571876065,0.6962774101466198,0.30320851174257163,0.4997429609445957,0.3059285335108812,0.7129387628754826,0.5094336481931819,0.3048255616821307,0.7048651255664555,0.5048453436242931
meanshift,samgeo,0.5297103931490852,0.17921071752951861,0.3544605553393019,0.48286754493791384,0.863392870858161,0.6731302078980375,0.4765785758944143,0.8420910766643213,0.6593348262793678,0.5780903075126509,0.3635864798235371,0.470838393668094,0.4601778993210935,0.8020416519087182,0.6311097756149059,0.44104379590422127,0.7192275860425905,0.5801356909734059
quickshift,felzenszwalb,0.8214381730893993,0.19179745685740235,0.5066178149734009,0.29457939317217396,0.9886626907335734,0.6416210419528736,0.23657061004138735,0.8984326169380855,0.5675016134897364,0.8325454781367588,0.15732334241598547,0.49493441027637214,0.30477549067861154,0.9937192316542874,0.6492473611664495,0.23611500627092635,0.918197944619151,0.5771564754450387
quickshift,meanshift,0.4483780978331387,0.0223963928895809,0.2353872453613598,0.6971573395586083,0.9844184005995802,0.8407878700790943,0.6243896208627349,0.9810110038549996,0.8027003123588672,0.5302091605034385,0.018689243544829377,0.2744492020241339,0.703312565072231,0.9903561738163315,0.8468343694442813,0.5865517022843962,0.985833465135751,0.7861925837100736
quickshift,rezsd,0.98219410925133,0.0022780589074867003,0.49223608407940833,0.12420453592150567,0.9979805629894873,0.5610925494554965,0.07100521333508783,0.9978512520410003,0.5344282326880441,0.9616959906578435,0.004090048008304139,0.4828930193330738,0.16770887435230916,0.9965239093316881,0.5821163918419986,0.10300644184723283,0.9962169306616919,0.5496116862544623
quickshift,samgeo,0.9336726352666408,0.03912663812118853,0.48639963669391467,0.1949304352040703,0.9949963496700276,0.594963392437049,0.13062889996871474,0.9779348557744195,0.5542818778715671,0.9333287920072662,0.027664071623199685,0.48049643181523294,0.22473862704802972,0.9950757461809564,0.6099071866144931,0.14570491752038178,0.9837058372788783,0.56470537739963
rezsd,felzenszwalb,0.2277267419229272,0.9469905280913455,0.5873586350071364,0.862636557256117,0.13479821057775784,0.49871738391693743,0.8174549076665949,0.09390384124320615,0.45567937445490053,0.3175711690670818,0.8715910211496043,0.594581095108343,0.7857473468216585,0.18914844833919017,0.48744789758042434,0.7340880888772883,0.15877871359479295,0.4464334012360406
rezsd,meanshift,0.10487284287011807,0.7358260023355392,0.42034942260282865,0.9041858425639268,0.2589976313921568,0.5815917369780418,0.8996564998469043,0.2615858145283088,0.5806211571876065,0.30320851174257163,0.6962774101466198,0.4997429609445957,0.7129387628754827,0.3059285335108812,0.5094336481931819,0.7048651255664555,0.3048255616821307,0.5048453436242931
rezsd,quickshift,0.0022780589074867003,0.98219410925133,0.49223608407940833,0.9979805629894873,0.12420453592150567,0.5610925494554965,0.9978512520410003,0.07100521333508783,0.5344282326880441,0.004090048008304139,0.9616959906578435,0.4828930193330738,0.9965239093316879,0.16770887435230916,0.5821163918419985,0.9962169306616919,0.10300644184723283,0.5496116862544623
rezsd,samgeo,0.3891256001038017,0.8159883223043986,0.6025569612041002,0.6781621726856459,0.3441685481152848,0.5111653604004653,0.6445182862909221,0.26409011290544315,0.45430419959818263,0.4786828856883353,0.7561601141819125,0.617421499935124,0.5316160233913487,0.3566711986453094,0.44414361101832905,0.5264665688515067,0.3002555422316984,0.4133610555416025
samgeo,felzenszwalb,0.377874659400545,0.8936356558972363,0.6357551576488907,0.8733462703915329,0.13189879561235307,0.5026225330019429,0.7477358054954939,0.1191315698575584,0.4334336876765261,0.44888439081354614,0.8721503827689114,0.6605173867912288,0.8206598274298124,0.1523116500737573,0.4864857387517848,0.6858877183081331,0.14008063365242293,0.41298417598027803
samgeo,meanshift,0.17921071752951861,0.5297103931490852,0.3544605553393019,0.863392870858161,0.48286754493791384,0.6731302078980375,0.8420910766643213,0.4765785758944143,0.6593348262793678,0.3635864798235371,0.5780903075126509,0.470838393668094,0.8020416519087182,0.4601778993210935,0.6311097756149059,0.7192275860425905,0.44104379590422127,0.5801356909734059
samgeo,quickshift,0.03912663812118853,0.9336726352666408,0.48639963669391467,0.9949963496700276,0.1949304352040703,0.594963392437049,0.9779348557744195,0.13062889996871474,0.5542818778715671,0.027664071623199685,0.9333287920072662,0.48049643181523294,0.9950757461809563,0.22473862704802972,0.609907186614493,0.9837058372788783,0.14570491752038178,0.56470537739963
samgeo,rezsd,0.8159883223043986,0.3891256001038017,0.6025569612041002,0.3441685481152848,0.6781621726856459,0.5111653604004653,0.26409011290544315,0.6445182862909221,0.45430419959818263,0.7561601141819125,0.4786828856883353,0.617421499935124,0.3566711986453094,0.5316160233913487,0.44414361101832905,0.3002555422316984,0.5264665688515067,0.4133610555416025
